,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2740,Stealers Wheel,Stuck In The Middle With You,3Vby4nGmtbDo7HDJamOWkT,0.82,0.575,7.0,-9.144,1.0,0.0408,0.0936,0.000135,0.109,0.964,123.765
2741,Stealers Wheel,Late Again,3OXpLyn8M0fbUBvnyhxF6I,0.57,0.195,10.0,-10.679,1.0,0.0331,0.066,0.000616,0.0937,0.397,117.084
2742,Stealers Wheel,Star,7Htjqx40jNYmjhVAhbSGd4,0.63,0.733,5.0,-6.135,0.0,0.0334,0.127,3.1e-06,0.163,0.698,117.768
2743,Stealers Wheel,I Get By,16Y9fKPEa7SQ5lZojVuNcO,0.714,0.614,0.0,-8.605,1.0,0.0386,0.192,0.00523,0.35,0.771,107.529
2744,Stealers Wheel,You Put Something Better Inside Me,5UGRLxnCVrmG3v1l6krW6V,0.684,0.344,9.0,-9.709,1.0,0.0311,0.683,0.0,0.0985,0.295,98.848
2745,Stealers Wheel,Another Meaning,0k7mzfOnyLECGoZQ20U68T,0.758,0.415,7.0,-11.681,1.0,0.0303,0.211,1.71e-05,0.0751,0.684,115.175
2746,Stealers Wheel,Next To Me,7kUfBtrRC3Omqz6ARA6A4w,0.631,0.369,0.0,-14.496,0.0,0.0295,0.7,0.0762,0.124,0.622,113.279
2747,Stealers Wheel,Outside Looking In,4RmGdItinhQhJ0vOGVcTx5,0.698,0.531,9.0,-9.307,1.0,0.0262,0.36,0.00266,0.0846,0.519,99.211
2748,Stealers Wheel,Johnny's Song,1NXE61RwrvMBI6mXaZc4Ze,0.649,0.633,2.0,-9.06,1.0,0.027,0.204,0.000388,0.0976,0.688,93.323
2749,Stealers Wheel,Gets So Lonely,4iVVkUf1GWMyHAWEwhJxLs,0.327,0.012,5.0,-26.34,1.0,0.0417,0.994,0.825,0.12,0.589,87.679
2750,Michael Mayer,Same Little Thing - Michael Mayer Mix,0RB3AJ670j3qxfe0N8vSfH,0.694,0.621,1.0,-8.161,1.0,0.0438,0.000871,0.668,0.192,0.174,119.006
2751,Michael Mayer,Brainwave Technology,0x1eIudX2mUXc28RujjNl5,0.597,0.809,9.0,-11.245,1.0,0.0458,0.00507,0.0175,0.109,0.0368,111.002
