,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6636,Thelonious Monk Trio,Nice Work If You Can Get It,3CGnKjKZzz9iyvvGDoeiwr,0.682,0.464,3.0,-10.065,0.0,0.0266,0.465,0.0116,0.117,0.9,103.954
6637,Thelonious Monk Trio,Eronel,7kEWYGiYQWjoT2F8ymMM4t,0.422,0.426,7.0,-10.52,1.0,0.04,0.489,0.0016,0.119,0.568,182.685
6638,Thelonious Monk Trio,In Walked Bud,4ciQwsh3mwgY0MocU8Lgwu,0.397,0.574,5.0,-6.786,0.0,0.0571,0.478,0.894,0.225,0.443,184.146
6639,Thelonious Monk Trio,April In Paris,6coNERzIhk3DftCPnBKgXE,0.469,0.344,9.0,-9.308,0.0,0.0351,0.599,0.000175,0.138,0.363,128.231
6640,Thelonious Monk Trio,Evidence,3wE5oAnJCkTiwWUUacGdjm,0.743,0.313,8.0,-10.137,1.0,0.0702,0.774,0.167,0.0902,0.438,84.37
6641,Thelonious Monk Trio,Little Rootie Tootie,1kY4Vur335CTv5L4sGLQjr,0.362,0.345,1.0,-15.866,1.0,0.0404,0.736,0.203,0.109,0.581,142.582
6642,Thelonious Monk Trio,Sweet And Lovely,2ncp0QMYImtejhK2ZkLwwd,0.396,0.29,8.0,-16.699,1.0,0.0379,0.829,0.488,0.105,0.354,86.747
6643,Stromae,Alors on danse - Radio Edit,2GYHyAoLWpkxLVa4oYTVko,0.791,0.59,1.0,-9.206,0.0,0.0793,0.0994,0.00203,0.065,0.714,119.951
6644,Stromae,Santé,3vXnuFnC5RhPGwsFi0ORcI,0.641,0.681,0.0,-6.418,1.0,0.354,0.123,3.36e-05,0.0425,0.836,138.095
6645,Stromae,Papaoutai,1QFw2xxyQtgKjlrMCEqsNj,0.734,0.809,10.0,-7.264,0.0,0.0839,0.0266,0.0,0.0642,0.254,116.022
6646,Stromae,Alors On Danse - DubDogz Remix,19eIZmuXlBmLTha1lPHef7,0.789,0.752,1.0,-4.274,0.0,0.164,0.027,2.69e-05,0.613,0.739,122.98
6647,Stromae,Tous les mêmes,1GC1MIaRMW3kfVK9VyD5Ii,0.701,0.637,5.0,-9.061,0.0,0.166,0.223,0.00219,0.279,0.647,109.959
6648,Stromae,Formidable,382n05RtneO3ykQlFQrAd1,0.513,0.628,4.0,-9.056,0.0,0.19,0.0997,0.0,0.146,0.501,70.568
6649,Stromae,Ta fête,0KFkeq7DYdj5OT8vMML6il,0.68,0.851,11.0,-7.665,0.0,0.12,0.00114,0.00193,0.308,0.593,127.954
6650,Stromae,ave cesaria,4zw0Ih25ilFwQdtkzzWA7s,0.724,0.659,11.0,-8.254,0.0,0.202,0.117,2.89e-06,0.208,0.377,113.009
6651,Stromae,bâtard,3bzRhs52uL8Xw6b1nqnEjJ,0.743,0.749,7.0,-9.652,1.0,0.248,0.0478,0.0,0.746,0.78,126.012
6652,Stromae,carmen,60ynqVuPGEmnNqhRRehCZI,0.659,0.824,8.0,-8.009,1.0,0.109,0.0213,0.000141,0.384,0.523,150.002
6653,Basil Cameron,Vaughan Williams: Harmonica Concerto: I. Romanza,0FT7IhDIO06J6V74sEPjLD,0.382,0.199,9.0,-20.788,0.0,0.0448,0.87,0.000956,0.107,0.296,107.203
6654,Basil Cameron,Vaughan Williams: Harmonica Concerto: II. Canzona semplice,4CkemZDPk0HKqpkCbWuxRI,0.18,0.0954,1.0,-24.439,1.0,0.0449,0.86,0.00696,0.129,0.0375,94.829
6655,Basil Cameron,Vaughan Williams: Harmonica Concerto: III. Rondo amabile,3aR0XQBKvnpaBEm62uIKz1,0.479,0.207,0.0,-21.007,1.0,0.0426,0.836,0.0316,0.0607,0.406,105.262
6656,Basil Cameron,I puritani: O rendetemi la speme (Live),3yFOWIPtTCaLQ1abnMqHR0,0.253,0.0909,3.0,-19.055,1.0,0.0536,0.984,0.0246,0.64,0.0371,77.947
6657,Basil Cameron,"Introduction et rondo capriccioso, Op. 28",4JL3pMDRErW2uXyTBq8M9L,0.337,0.207,9.0,-17.965,0.0,0.0465,0.963,0.523,0.226,0.404,76.27
